datetime_beginning_utc,datetime_beginning_ept,pnode_id,pnode_name,voltage,equipment,type,zone,system_energy_price_rt,total_lmp_rt,congestion_price_rt,marginal_loss_price_rt,row_is_current,version_nbr
1/6/2024 1:00:00 PM,1/6/2024 8:00:00 AM,5021520,SHINGLET,230 KV,T81,LOAD,APS,30.650000,30.550000,0.000000,-0.090000,True,1
1/6/2024 2:00:00 PM,1/6/2024 9:00:00 AM,5021520,SHINGLET,230 KV,T81,LOAD,APS,31.300000,30.190000,-1.010000,-0.110000,True,1
1/6/2024 3:00:00 PM,1/6/2024 10:00:00 AM,5021520,SHINGLET,230 KV,T81,LOAD,APS,35.150000,32.550000,-2.340000,-0.270000,True,1
1/6/2024 4:00:00 PM,1/6/2024 11:00:00 AM,5021520,SHINGLET,230 KV,T81,LOAD,APS,34.940000,33.070000,-2.180000,0.310000,True,1
1/6/2024 5:00:00 PM,1/6/2024 12:00:00 PM,5021520,SHINGLET,230 KV,T81,LOAD,APS,33.810000,32.300000,-2.040000,0.530000,True,1
1/6/2024 6:00:00 PM,1/6/2024 1:00:00 PM,5021520,SHINGLET,230 KV,T81,LOAD,APS,59.330000,54.760000,-5.680000,1.120000,True,1
1/6/2024 7:00:00 PM,1/6/2024 2:00:00 PM,5021520,SHINGLET,230 KV,T81,LOAD,APS,30.850000,30.210000,-1.370000,0.730000,True,1
1/6/2024 8:00:00 PM,1/6/2024 3:00:00 PM,5021520,SHINGLET,230 KV,T81,LOAD,APS,31.710000,30.540000,-2.110000,0.940000,True,1
1/6/2024 9:00:00 PM,1/6/2024 4:00:00 PM,5021520,SHINGLET,230 KV,T81,LOAD,APS,34.680000,34.930000,-0.400000,0.640000,True,1
1/6/2024 10:00:00 PM,1/6/2024 5:00:00 PM,5021520,SHINGLET,230 KV,T81,LOAD,APS,32.290000,31.590000,-0.970000,0.270000,True,1
1/6/2024 11:00:00 PM,1/6/2024 6:00:00 PM,5021520,SHINGLET,230 KV,T81,LOAD,APS,45.840000,43.900000,-2.350000,0.420000,True,1
1/7/2024 12:00:00 AM,1/6/2024 7:00:00 PM,5021520,SHINGLET,230 KV,T81,LOAD,APS,41.420000,38.530000,-3.550000,0.660000,True,1
1/7/2024 1:00:00 AM,1/6/2024 8:00:00 PM,5021520,SHINGLET,230 KV,T81,LOAD,APS,26.830000,26.020000,-1.720000,0.910000,True,1
1/7/2024 2:00:00 AM,1/6/2024 9:00:00 PM,5021520,SHINGLET,230 KV,T81,LOAD,APS,25.700000,24.670000,-2.150000,1.120000,True,1
1/7/2024 3:00:00 AM,1/6/2024 10:00:00 PM,5021520,SHINGLET,230 KV,T81,LOAD,APS,24.270000,24.020000,-1.420000,1.180000,True,1
1/7/2024 4:00:00 AM,1/6/2024 11:00:00 PM,5021520,SHINGLET,230 KV,T81,LOAD,APS,23.230000,22.790000,-1.600000,1.160000,True,1
1/7/2024 5:00:00 AM,1/7/2024 12:00:00 AM,5021520,SHINGLET,230 KV,T81,LOAD,APS,40.800000,53.690000,10.520000,2.370000,True,1
1/7/2024 6:00:00 AM,1/7/2024 1:00:00 AM,5021520,SHINGLET,230 KV,T81,LOAD,APS,28.830000,38.720000,8.150000,1.730000,True,1
1/7/2024 7:00:00 AM,1/7/2024 2:00:00 AM,5021520,SHINGLET,230 KV,T81,LOAD,APS,25.930000,29.080000,1.640000,1.510000,True,1
